"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 25 18:39:48 GMT 2022","Sat Jun 25 18:39:49 GMT 2022","279","","Отправляем http запросы","","Отправляем http запросы","Получить текущую погоду для какого-то города  get /current 200","Получить текущую погоду для какого-то города  get /current 200",""
"passed","Sat Jun 25 18:39:49 GMT 2022","Sat Jun 25 18:39:49 GMT 2022","63","","Отправляем http запросы","","Отправляем http запросы","Проверить, что текущая погода возвращается для корректного города get /current 200","Проверить, что текущая погода возвращается для корректного города get /current 200",""
"passed","Sat Jun 25 18:39:49 GMT 2022","Sat Jun 25 18:39:49 GMT 2022","55","","Отправляем http запросы","","Отправляем http запросы","Проверяем, что без указания города не возвращается информация о погоде get /current 200","Проверяем, что без указания города не возвращается информация о погоде get /current 200",""
"passed","Sat Jun 25 18:39:49 GMT 2022","Sat Jun 25 18:39:49 GMT 2022","43","","Отправляем http запросы","","Отправляем http запросы","Проверяем, что для бесплатного тарифа не доступна API для автозаполнения get /autocomplete 200","Проверяем, что для бесплатного тарифа не доступна API для автозаполнения get /autocomplete 200",""
"passed","Sat Jun 25 18:39:49 GMT 2022","Sat Jun 25 18:39:49 GMT 2022","43","","Отправляем http запросы","","Отправляем http запросы","Получить текущую погоду для какого-то города с неверным access_key  get /current 200","Получить текущую погоду для какого-то города с неверным access_key  get /current 200",""
