"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 26 15:08:59 GMT 2022","Sun Jun 26 15:08:59 GMT 2022","138","","Отправляем http запросы","","Отправляем http запросы","Проверяем, что для бесплатного тарифа не доступна API для автозаполнения get /autocomplete 200","Проверяем, что для бесплатного тарифа не доступна API для автозаполнения get /autocomplete 200",""
"passed","Sun Jun 26 15:08:58 GMT 2022","Sun Jun 26 15:08:59 GMT 2022","403","","Отправляем http запросы","","Отправляем http запросы","Получить текущую погоду для какого-то города  get /current 200","Получить текущую погоду для какого-то города  get /current 200",""
"passed","Sun Jun 26 15:08:59 GMT 2022","Sun Jun 26 15:08:59 GMT 2022","108","","Отправляем http запросы","","Отправляем http запросы","Проверить, что текущая погода возвращается для корректного города get /current 200","Проверить, что текущая погода возвращается для корректного города get /current 200",""
"passed","Sun Jun 26 15:08:59 GMT 2022","Sun Jun 26 15:08:59 GMT 2022","129","","Отправляем http запросы","","Отправляем http запросы","Получить текущую погоду для какого-то города с неверным access_key  get /current 200","Получить текущую погоду для какого-то города с неверным access_key  get /current 200",""
"passed","Sun Jun 26 15:08:59 GMT 2022","Sun Jun 26 15:08:59 GMT 2022","91","","Отправляем http запросы","","Отправляем http запросы","Проверяем, что без указания города не возвращается информация о погоде get /current 200","Проверяем, что без указания города не возвращается информация о погоде get /current 200",""
