"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 27 20:24:02 GMT 2022","Mon Jun 27 20:24:02 GMT 2022","137","","Отправляем http запросы","","Отправляем http запросы","Проверяем, что без указания города не возвращается информация о погоде get /current 200","Проверяем, что без указания города не возвращается информация о погоде get /current 200",""
"passed","Mon Jun 27 20:24:01 GMT 2022","Mon Jun 27 20:24:01 GMT 2022","96","","Отправляем http запросы","","Отправляем http запросы","Проверить, что текущая погода возвращается для корректного города get /current 200","Проверить, что текущая погода возвращается для корректного города get /current 200",""
"passed","Mon Jun 27 20:24:01 GMT 2022","Mon Jun 27 20:24:01 GMT 2022","381","","Отправляем http запросы","","Отправляем http запросы","Получить текущую погоду для какого-то города  get /current 200","Получить текущую погоду для какого-то города  get /current 200",""
"passed","Mon Jun 27 20:24:01 GMT 2022","Mon Jun 27 20:24:02 GMT 2022","174","","Отправляем http запросы","","Отправляем http запросы","Получить текущую погоду для какого-то города с неверным access_key  get /current 200","Получить текущую погоду для какого-то города с неверным access_key  get /current 200",""
"passed","Mon Jun 27 20:24:02 GMT 2022","Mon Jun 27 20:24:02 GMT 2022","129","","Отправляем http запросы","","Отправляем http запросы","Проверяем, что для бесплатного тарифа не доступна API для автозаполнения get /autocomplete 200","Проверяем, что для бесплатного тарифа не доступна API для автозаполнения get /autocomplete 200",""
